picoclaw_mipsle.deb	16683774	sha256:7d66d8283d60f12f39101c3cc6f4ce03b00f30ab2f26c4937c3c88eddb25a62d	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_mipsle.deb
picoclaw_mipsle.rpm	16656224	sha256:ee582d6b964ef0b934374833e278c306b8f26ecbe05aae3530207defb0637712	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_mipsle.rpm
picoclaw_Netbsd_arm64.tar.gz	17543329	sha256:138a60520d4f47726f3d02316049a56172ebedd64e1a2134e2bf1b7352b56cdf	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_Netbsd_arm64.tar.gz
picoclaw_Netbsd_x86_64.tar.gz	19129497	sha256:9b21ae2b7b97bd6e355a85fb1b2680e8ecbfc7d57197cf3bac5e81a5fe6478a9	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_Netbsd_x86_64.tar.gz
picoclaw_riscv64.deb	23009084	sha256:4b98588daf0e6f6549c08ccdd5d189900585cb646f7c97d5a6e4d6ee208dddbb	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_riscv64.deb
picoclaw_riscv64.rpm	22887644	sha256:569e41b21b99aceb52926961eaf81ca67a0452b73ba3dded6df115c75eb0f602	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_riscv64.rpm
picoclaw_s390x.deb	22380594	sha256:fc811cef8b612f5701f657633375388fcd33d4251659516ad1f0273835e37b90	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_s390x.deb
picoclaw_s390x.rpm	22329054	sha256:a37778c150d76d4b63759b9c068c6830613c7ab2b586689d16976a8fa1b3ef06	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_s390x.rpm
picoclaw_Windows_arm64.zip	20491048	sha256:2c3c99f65696e9dcf0726b0867b3857a378704f14b097dd0076e16967f54f1c3	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_Windows_arm64.zip
picoclaw_Windows_x86_64.zip	22385616	sha256:c76e4b9f3f95137b8cb58229e756538b12ed0fee0e4301a01b531626bf740af1	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_Windows_x86_64.zip
picoclaw_x86_64.deb	23675252	sha256:dfcbf0445ac8f3422575689378ee8c3406734f67b837bf49a8bc8d5624e8353a	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_x86_64.deb
picoclaw_x86_64.rpm	23621504	sha256:b134dde970fce23e7030f7acb8f81f21be5475a68eb363bd0facbd4f3d9f45bc	https://github.com/sipeed/picoclaw/releases/download/v0.3.1/picoclaw_x86_64.rpm
